maintype,grade,FD-score,LiA-score,CLIB-score,CLIB_stop-score,CILT-score,CILT_stop-score
leesboeken,5,92,85,48,45,61,63
leesboeken,3,84,75,43,40,65,67
leesboeken,2,94,88,43,40,64,66
media,4,79,71,40,36,72,74
media,4,82,76,38,33,72,75
school,4,61,54,39,34,74,78
media,4,58,51,27,24,82,83
media,4,72,63,42,39,68,69
leesboeken,7,84,69,46,41,61,64
media,4,73,64,42,35,68,72
leesboeken,8,92,81,48,46,61,62
media,4,61,57,38,33,78,81
school,6,44,41,28,22,85,89
school,6,76,68,38,33,68,70
school,4,66,63,41,38,74,75
school,4,89,82,46,43,65,67
school,6,74,65,39,35,70,72
leesboeken,2,82,75,36,33,71,73
media,4,60,55,33,28,78,80
leesboeken,7,81,63,42,38,63,65
media,4,79,69,34,30,74,76
school,3,91,83,48,43,62,65
leesboeken,5,69,60,35,30,75,77
leesboeken,7,93,85,49,45,63,65
leesboeken,5,72,61,35,33,69,71
leesboeken,1,89,79,42,38,64,67
leesboeken,2,90,79,47,44,62,63
leesboeken,5,81,70,35,32,70,72
school,6,51,33,29,18,77,84
leesboeken,5,88,80,41,37,67,69
leesboeken,6,26,13,13,9,92,95
school,6,79,76,44,38,73,76
leesboeken,5,80,73,42,40,69,70
leesboeken,5,73,56,37,34,68,70
leesboeken,2,82,72,37,31,72,75
leesboeken,5,89,77,39,36,66,68
leesboeken,5,90,81,41,37,66,68
leesboeken,6,76,66,35,32,71,73
school,5,85,78,43,38,65,68
leesboeken,5,76,68,36,30,70,73
leesboeken,5,83,73,36,33,69,71
leesboeken,7,89,81,43,39,65,67
leesboeken,2,85,77,41,39,66,67
leesboeken,6,81,71,35,33,70,71
school,6,74,70,37,37,74,74
leesboeken,5,94,88,42,40,67,68
leesboeken,5,95,86,45,42,60,63
leesboeken,5,79,76,39,36,75,76
media,4,68,61,35,33,74,76
leesboeken,4,76,66,31,29,74,75
leesboeken,7,100,91,50,48,59,60
leesboeken,5,89,81,39,37,67,68
leesboeken,7,92,82,43,38,65,69
leesboeken,7,99,87,51,48,56,58
leesboeken,2,92,85,44,41,65,67
leesboeken,5,98,90,49,44,60,64
leesboeken,7,76,65,37,32,69,72
leesboeken,4,81,74,40,36,70,73
leesboeken,5,80,70,37,33,71,74
leesboeken,5,75,64,31,27,73,75
leesboeken,6,66,53,28,26,74,75
school,5,67,61,30,29,77,78
school,4,87,78,36,33,66,67
leesboeken,2,64,59,39,31,75,80
leesboeken,5,89,77,42,40,64,65
leesboeken,7,83,76,43,38,67,70
media,4,69,63,37,31,76,80
leesboeken,5,86,76,37,32,69,72
leesboeken,7,57,37,26,24,76,78
school,5,76,69,28,22,76,79
school,6,52,49,37,35,81,82
leesboeken,2,93,86,45,40,64,67
media,4,56,52,27,22,84,87
media,4,71,62,33,30,77,79
media,4,71,66,34,29,77,79
media,4,63,57,36,31,76,79
leesboeken,5,74,69,33,27,75,78
school,4,69,53,35,33,71,71
leesboeken,5,61,44,30,25,76,79
leesboeken,2,95,88,45,43,65,66
school,5,93,86,43,41,65,66
media,3,84,78,41,40,65,66
leesboeken,5,85,78,41,35,67,71
leesboeken,3,79,71,38,36,68,69
leesboeken,5,83,73,40,37,68,70
leesboeken,4,94,84,47,40,60,63
leesboeken,7,84,72,32,31,71,72
leesboeken,2,93,85,48,42,63,66
leesboeken,8,82,71,33,30,70,71
leesboeken,7,98,84,45,43,60,60
media,4,61,53,30,26,78,80
leesboeken,5,83,73,41,38,66,68
media,4,81,71,36,31,69,72
leesboeken,5,93,86,51,45,62,65
media,3,91,81,42,39,60,62
school,6,64,55,28,24,78,80
school,5,64,58,32,28,78,81
media,4,48,42,22,19,88,90
leesboeken,7,83,71,43,39,63,65
leesboeken,5,93,81,43,41,63,65
leesboeken,5,89,79,42,36,66,69
leesboeken,5,79,75,33,28,76,79
school,5,76,71,34,31,75,77
leesboeken,6,68,60,32,29,75,77
school,4,82,73,45,42,66,68
media,4,69,64,40,37,74,76
school,5,77,68,43,37,67,70
leesboeken,7,72,62,31,27,76,78
media,4,57,50,30,26,78,81
leesboeken,7,94,85,47,45,61,62
school,3,86,79,42,36,65,68
leesboeken,5,87,82,44,39,66,69
leesboeken,2,76,69,31,29,76,77
leesboeken,2,75,67,34,29,69,72
media,4,78,69,44,39,68,71
school,6,85,71,48,44,63,66
leesboeken,5,73,59,39,34,69,71
leesboeken,7,72,68,33,29,77,80
school,5,82,75,42,38,67,69
media,4,61,57,35,33,77,78
leesboeken,2,77,64,29,27,73,74
leesboeken,2,83,73,39,34,66,69
school,3,82,78,44,41,71,73
media,4,81,67,44,42,65,66
leesboeken,2,82,76,40,39,71,72
school,4,97,89,49,42,62,66
leesboeken,5,73,57,37,32,69,72
leesboeken,7,58,47,28,26,78,80
leesboeken,7,81,73,37,33,70,72
school,3,81,74,44,40,69,72
school,6,86,79,44,41,64,66
leesboeken,2,94,87,45,39,61,64
leesboeken,1,124,117,68,64,54,56
leesboeken,5,79,72,33,32,72,73
media,4,71,66,38,32,73,76
leesboeken,2,95,86,40,37,66,68
leesboeken,4,93,80,43,38,61,63
leesboeken,5,75,68,34,34,72,72
leesboeken,6,73,59,41,37,66,68
school,5,62,51,29,22,77,81
school,5,80,72,38,34,72,74
media,4,62,54,35,31,78,80
school,4,78,69,41,37,66,69
school,5,93,87,45,43,71,72
media,4,74,67,33,31,73,74
leesboeken,5,79,73,39,37,71,72
leesboeken,1,94,85,47,40,61,66
leesboeken,2,97,90,43,39,64,66
media,4,79,68,36,32,71,74
school,5,102,95,54,49,57,60
leesboeken,7,79,71,35,30,70,73
media,4,73,66,37,32,74,78
